1.000000000000000e-01	8.334722552996165e-04	3.473255927310959e-08
5.000000000000000e-02	2.083420144054493e-04	2.170300605897069e-09
2.500000000000000e-02	5.208387587585239e-05	1.356361689630603e-10
1.250000000000000e-02	1.302086724186413e-05	8.476108703803220e-12
6.250000000000000e-03	3.255210453301238e-06	5.278000259067994e-13
3.125000000000000e-03	8.138022173920234e-07	3.308464613382966e-14
1.562500000000000e-03	2.034505295345213e-07	1.776356839400250e-15
7.812500000000000e-04	5.086263088482923e-08	1.887379141862766e-15
3.906250000000000e-04	1.271565908123051e-08	8.881784197001252e-16
1.953125000000000e-04	3.178914020907087e-09	1.221245327087672e-14
9.765625000000001e-05	7.947192903756672e-10	1.953992523340276e-14
4.882812500000000e-05	1.986945052934175e-10	3.330669073875470e-16
2.441406250000000e-05	4.967382061238368e-11	7.771561172376096e-15
1.220703125000000e-05	1.241251545991418e-11	1.687538997430238e-14
6.103515625000000e-06	3.090305789044123e-12	6.883382752675971e-15
3.051757812500000e-06	7.674971769233707e-13	1.465494392505207e-14
1.525878906250000e-06	2.029487689014786e-13	3.441691376337985e-14
7.629394531250000e-07	7.638334409421077e-14	6.883382752675971e-15
3.814697265625000e-07	1.398881011027697e-14	2.564615186884112e-14
1.907348632812500e-07	2.264854970235319e-14	1.300071161836058e-13
9.536743164062501e-08	1.032507412901396e-13	7.331912854624534e-13
4.768371582031250e-08	5.240252676230739e-13	9.869882688917642e-13
2.384185791015625e-08	6.092903959142859e-13	2.875255589174230e-12
1.192092895507813e-08	2.004174604053333e-12	6.749933945116027e-12
