0	1
0.01	0.995953
0.0290198	0.966086
0.0505185	0.898408
0.0739021	0.786844
0.0989186	0.629204
0.125521	0.426937
0.153869	0.184904
0.183774	-0.0830713
0.213678	-0.345066
0.243583	-0.582215
0.273488	-0.777444
0.303392	-0.916696
0.327982	-0.982049
0.352571	-0.999502
0.373519	-0.975879
0.394468	-0.917671
0.41745	-0.816511
0.442102	-0.669451
0.468335	-0.477118
0.496254	-0.243623
0.526261	0.0239621
0.556269	0.28981
0.586276	0.534648
0.616283	0.740729
0.64629	0.893112
0.671582	0.971587
0.696875	0.999935
0.717194	0.985318
0.737513	0.937844
0.75999	0.848989
0.784198	0.714702
0.809993	0.534611
0.837422	0.311891
0.866784	0.0528966
0.896147	-0.20977
0.925509	-0.457873
0.954872	-0.674186
0.984234	-0.843691
1.0136	-0.95462
1.03695	-0.995749
1.06031	-0.993047
1.08366	-0.946635
1.10701	-0.858555
1.13037	-0.732684
1.156	-0.557691
1.18323	-0.339634
1.21234	-0.0844257
1.24145	0.176545
1.27056	0.425465
1.29967	0.645346
1.32878	0.82118
1.3579	0.940966
1.38194	0.991705
1.40599	0.996165
1.43004	0.95414
1.45409	0.86759
1.47814	0.740555
1.50367	0.568069
1.53081	0.352165
1.55981	0.0987278
1.5708	4.0846e-11
